case,plane,s_m,z_m,Eabs_Vpm,ne_m3,rho_Cpm3
misaligned,xz,-2.953125e-05,0.00012914062500000005,1532169.33851969,1.9087512878958248e-71,-3.0581676526747265e-90
misaligned,xz,-2.953125e-05,0.00012992187500000005,1526542.5103873569,3.397981117047613e-72,-5.444185148428205e-91
misaligned,xz,-2.953125e-05,0.00013070312500000004,1521756.2043629594,1.264574574852665e-73,-2.0260787297489603e-92
misaligned,xz,-2.953125e-05,0.00013148437500000004,1517612.8806615644,2.2478754708720322e-74,-3.6015056747692315e-93
misaligned,xz,-2.953125e-05,0.00013226562500000003,1514340.6862848846,8.146562242289376e-76,-1.305227419893405e-94
misaligned,xz,-2.953125e-05,0.00013304687500000003,1511802.0605971878,1.446219994619867e-76,-2.3171073753110093e-95
misaligned,xz,-2.953125e-05,0.00013382812500000005,1510140.4105307932,4.738470646627259e-78,-7.591890807253064e-97
misaligned,xz,-2.953125e-05,0.00013460937500000004,1509285.1169945756,1.3235002298809182e-78,-2.1204877865529673e-97
misaligned,xz,-2.859375e-05,-1.4609374999999986e-05,1898625.29374487,7.613785193400779e-80,-1.219869520991882e-98
misaligned,xz,-2.859375e-05,-1.3828124999999985e-05,1912835.870767884,6.197197140100976e-79,-9.929059410403628e-98
misaligned,xz,-2.859375e-05,-1.3046874999999985e-05,1927002.7068488093,1.130519695128211e-77,-1.811302588730995e-96
misaligned,xz,-2.859375e-05,-1.2265624999999985e-05,1940992.2411041863,9.270468598799827e-77,-1.4853014232300754e-95
misaligned,xz,-2.859375e-05,-1.1484374999999984e-05,1954772.241335601,1.6472000634142327e-75,-2.63912121775818e-94
misaligned,xz,-2.859375e-05,-1.0703124999999984e-05,1968311.2492645807,1.3421376862496536e-74,-2.1503546482378607e-93
misaligned,xz,-2.859375e-05,-9.921874999999985e-06,1981613.5053671093,2.322886810806102e-73,-3.721698153308879e-92
misaligned,xz,-2.859375e-05,-9.140624999999983e-06,1994646.8438081783,1.8802903380776756e-72,-3.012576221012879e-91
misaligned,xz,-2.859375e-05,-8.359374999999985e-06,2007418.7796528363,3.1695370586503182e-71,-5.078191114915215e-90
misaligned,xz,-2.859375e-05,-7.578124999999984e-06,2019893.0597503106,2.5483287779783354e-70,-4.082899540553748e-89
misaligned,xz,-2.859375e-05,-6.796874999999984e-06,2032080.1581384107,4.1833411687220286e-69,-6.702496533523798e-88
misaligned,xz,-2.859375e-05,-6.015624999999984e-06,2043942.1707025035,3.3401195911463654e-68,-5.351497863236037e-87
misaligned,xz,-2.859375e-05,-5.234374999999983e-06,2055493.4881585038,5.3393458254832245e-67,-8.554634685025655e-86
misaligned,xz,-2.859375e-05,-4.453124999999983e-06,2066696.1739818738,4.2327465210192536e-66,-6.781655167321375e-85
misaligned,xz,-2.859375e-05,-3.6718749999999834e-06,2077568.931969923,6.588284650123709e-65,-1.0555671705464835e-83
misaligned,xz,-2.859375e-05,-2.890624999999983e-06,2088074.9164525238,5.184640677135068e-64,-8.306770369044418e-83
misaligned,xz,-2.859375e-05,-2.1093749999999827e-06,2098237.1703530364,7.857115615592435e-63,-1.2588580593567999e-81
misaligned,xz,-2.859375e-05,-1.3281249999999827e-06,2108020.833384469,6.1367512768089186e-62,-9.832233034773497e-81
misaligned,xz,-2.859375e-05,-5.468749999999824e-07,2117453.071055297,9.054244638062508e-61,-1.45066103372666e-79
misaligned,xz,-2.859375e-05,2.3437500000001756e-07,2126501.7413001396,7.017364579846901e-60,-1.12431442135485e-78
misaligned,xz,-2.859375e-05,1.015625000000018e-06,2135197.7291763686,1.00794397511035e-58,-1.6149170324139768e-77
misaligned,xz,-2.859375e-05,1.7968750000000183e-06,2143512.1822085865,7.750363051764345e-58,-1.2417549148877636e-76
misaligned,xz,-2.859375e-05,2.5781250000000178e-06,2151479.1529203514,1.0837197452458647e-56,-1.7363245644785503e-75
misaligned,xz,-2.859375e-05,3.359375000000018e-06,2159073.4771691607,8.265762395661934e-56,-1.324331959460427e-74
misaligned,xz,-2.859375e-05,4.1406250000000185e-06,2166331.711906399,1.1251329457585225e-54,-1.802676796331783e-73
misaligned,xz,-2.859375e-05,4.921875000000018e-06,2173232.603189569,8.511396836498575e-54,-1.3636875833894121e-72
misaligned,xz,-2.859375e-05,5.703125000000018e-06,2179814.480716809,1.1281213891698972e-52,-1.8074652934399234e-71
misaligned,xz,-2.859375e-05,6.484375000000019e-06,2186060.0532016805,8.47255856011995e-52,-1.3574652860092682e-70
misaligned,xz,-2.859375e-05,7.265625000000019e-06,2192008.6671657693,1.0946265631290105e-50,-1.7538006428769994e-69
misaligned,xz,-2.859375e-05,8.04687500000002e-06,2197646.8956685956,8.194108674458832e-50,-1.3128526343341295e-68
misaligned,xz,-2.859375e-05,8.82812500000002e-06,2203014.364508992,1.036076060353203e-48,-1.659991974994295e-67
misaligned,xz,-2.859375e-05,9.609375000000018e-06,2208101.2889594254,7.860109943977702e-48,-1.2593399506082286e-66
misaligned,xz,-2.859375e-05,1.0390625000000019e-05,2212946.8919742033,9.858615439961154e-47,-1.5795390596349548e-65
misaligned,xz,-2.859375e-05,1.1171875000000019e-05,2217544.7165660085,7.942429244875348e-46,-1.2725292992661348e-64
misaligned,xz,-2.859375e-05,1.195312500000002e-05,2221932.984817232,1.0214960636905084e-44,-1.6366326049724084e-63
