case,plane,s_m,z_m,Eabs_Vpm,ne_m3,rho_Cpm3
aligned,xz,-2.953125e-05,-9.140624999999983e-06,2509509.7209531246,3.248727959089553e-70,-5.205053444448868e-89
aligned,xz,-2.953125e-05,-8.359374999999985e-06,2523510.818843443,7.212183023891938e-69,-1.1555227804683676e-87
aligned,xz,-2.953125e-05,-7.578124999999984e-06,2536587.1160354507,3.890386687845116e-68,-6.233104909786649e-87
aligned,xz,-2.953125e-05,-6.796874999999984e-06,2549108.2896259646,8.390554913868966e-67,-1.3443188121980423e-85
aligned,xz,-2.953125e-05,-6.015624999999984e-06,2560573.32138302,4.508512719570355e-66,-7.223451862602207e-85
aligned,xz,-2.953125e-05,-5.234374999999983e-06,2571448.87530217,9.447120609099099e-65,-1.5135990240152698e-83
aligned,xz,-2.953125e-05,-4.453124999999983e-06,2581160.471917645,5.056191159846705e-64,-8.100927212623823e-83
aligned,xz,-2.953125e-05,-3.6718749999999834e-06,2590263.358199097,1.0294175789380036e-62,-1.6493115694324736e-81
aligned,xz,-2.953125e-05,-2.890624999999983e-06,2598125.612042386,5.48739554039332e-62,-8.791789114691042e-81
aligned,xz,-2.953125e-05,-2.1093749999999827e-06,2605377.1860207994,1.0856180876066792e-60,-1.7393539128483077e-79
aligned,xz,-2.953125e-05,-1.3281249999999827e-06,2611348.0981478347,5.763355173041675e-60,-9.233921305555264e-79
aligned,xz,-2.953125e-05,-5.468749999999824e-07,2616724.4824624993,1.1080847891497146e-58,-1.7753488043866974e-77
aligned,xz,-2.953125e-05,2.3437500000001756e-07,2620819.4093794324,5.85830170504513e-58,-9.386039076365689e-77
aligned,xz,-2.953125e-05,1.015625000000018e-06,2624353.5103169233,1.0947140597288421e-56,-1.7539259692330687e-75
aligned,xz,-2.953125e-05,1.7968750000000183e-06,2626643.916456482,5.763406117121688e-56,-9.233997279825937e-75
aligned,xz,-2.953125e-05,2.5781250000000178e-06,2628422.8354055155,1.0468439690305424e-54,-1.677229309153163e-73
aligned,xz,-2.953125e-05,3.359375000000018e-06,2629030.6308557303,5.488090424192999e-54,-8.792891906786305e-73
aligned,xz,-2.953125e-05,4.1406250000000185e-06,2629188.957082977,9.69028100191914e-53,-1.5525544708031509e-71
aligned,xz,-2.953125e-05,4.921875000000018e-06,2628277.374206739,5.0584585603876675e-52,-8.104545985485126e-71
aligned,xz,-2.953125e-05,5.703125000000018e-06,2626987.4368401244,8.68320880937041e-51,-1.391203845705598e-69
aligned,xz,-2.953125e-05,6.484375000000019e-06,2624749.8110379386,4.513209446969666e-50,-7.230961704851267e-69
aligned,xz,-2.953125e-05,7.265625000000019e-06,2622210.2798051257,7.532237336220036e-49,-1.2067981346981925e-67
aligned,xz,-2.953125e-05,8.04687500000002e-06,2618858.190272181,3.897881170619183e-48,-6.245098675110254e-67
aligned,xz,-2.953125e-05,8.82812500000002e-06,2615282.4211931336,6.325207563272175e-47,-1.0134109237707759e-65
aligned,xz,-2.953125e-05,9.609375000000018e-06,2611034.4621313373,3.258922424420611e-46,-5.221375404993883e-65
aligned,xz,-2.953125e-05,1.0390625000000019e-05,2606639.7498088786,5.1429094082093214e-45,-8.239861039952853e-64
