step,time_s,dt_s,topology,topology_status,head_position_m,E_peak_V_m,eta_peak,ne_peak_m3,sigma_e_peak_S_m,tau_i_at_E_peak_s,tau_M_at_E_peak_s,Pi_RF_at_E_peak,K_ion_z_A_m_s,current_moment_z_A_m
1766,8.8103073052661092e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4501796885097987e-05,22358642.728903502,8.4913605600972044,2613936927463181,1.3998396685734374e-05,6.0442782094884332e-12,6.3251442372848422e-07,104646.80840394639,0.027825979021127649,-4.3614446736588389e-13
1767,8.8153073052661084e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4502620103040843e-05,22358642.725732762,8.491360558893021,2612985067268072,1.3993299196209017e-05,6.0442782109438987e-12,6.3274483655710914e-07,104684.92919658263,0.027815090089860571,-4.3643495108020738e-13
1768,8.8203073052661077e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.450344238226781e-05,22358642.722637177,8.4913605577173801,2612030489681061,1.3988187154250717e-05,6.0442782123648658e-12,6.3297607582476461e-07,104723.18672060403,0.02780417396470207,-4.3672527584285418e-13
1769,8.825307305266107e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4504263723433883e-05,22358642.719616827,8.4913605565703119,2611073196923465.5,1.3983060571755295e-05,6.0442782137512996e-12,6.3320814262113532e-07,104761.58115629546,0.027793230668677536,-4.3701544122419414e-13
1770,8.8303073052661062e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4505084127196251e-05,22358642.716671873,8.4913605554518785,2610113191222599,1.3977919460650648e-05,6.044278215103122e-12,6.334410380404248e-07,104800.11268469012,0.027782260224872846,-4.3730544679479623e-13
1771,8.8353073052661055e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4505903594214175e-05,22358642.713802245,8.4913605543620516,2609150474811767.5,1.3972763832896804e-05,6.0442782164203659e-12,6.3367476318136331e-07,104838.78148756822,0.027771262656433454,-4.3759529212542872e-13
1772,8.8403073052661048e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4506722125149034e-05,22358642.71100821,8.4913605533009324,2608185049930263.5,1.3967593700485803e-05,6.0442782177029135e-12,6.3390931914722333e-07,104877.58774746412,0.02776023798656601,-4.3788497678706181e-13
1773,8.8453073052661041e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4507539720664222e-05,22358642.708289821,8.491360552268544,2607216918823363.5,1.3962409075441765e-05,6.0442782189507356e-12,6.3414470704582603e-07,104916.53164766317,0.027749186238536706,-4.3817450035086732e-13
1774,8.8503073052661033e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4508356381425238e-05,22358642.70564713,8.4913605512649042,2606246083742321,1.3957209969820819e-05,6.0442782201638106e-12,6.34380927989555e-07,104955.61337220545,0.027738107435671823,-4.3846386238822004e-13
1775,8.8553073052661026e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.450917210809953e-05,22358642.703080289,8.4913605502900698,2605272546944364,1.3951996395711069e-05,6.0442782213420679e-12,6.3461798309536791e-07,104994.83310588865,0.02772700160135801,-4.3875306247069903e-13
1776,8.8603073052661019e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4509986901356564e-05,22358642.700589366,8.4913605493440674,2604296310692689.5,1.3946768365232593e-05,6.0442782224854771e-12,6.3485587348480616e-07,105034.19103426812,0.027715868759041685,-4.3904210017008918e-13
1777,8.8653073052661012e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4510800761867802e-05,22358642.698174428,8.4913605484269219,2603317377256458.5,1.3941525890537425e-05,6.0442782235940058e-12,6.3509460028400693e-07,105073.68734365962,0.027704708932229261,-4.3933097505838077e-13
