x_m,y_m,z_m,lsf_m,inside_conductor
-2.5e-05,0.0,8.26e-05,1.590813544265679e-05,0
-2.5e-05,0.0,8.375e-05,1.546081760006038e-05,0
-2.5e-05,0.0,8.49e-05,1.5013499757463958e-05,0
-2.5e-05,0.0,8.605e-05,1.4566181914867538e-05,0
-2.5e-05,0.0,8.72e-05,1.4118864072271122e-05,0
-2.5e-05,0.0,8.835e-05,1.3671546229674702e-05,0
-2.5e-05,0.0,8.950000000000001e-05,1.3224228387078288e-05,0
-2.5e-05,0.0,9.065000000000001e-05,1.277691054448187e-05,0
-2.5e-05,0.0,9.180000000000001e-05,1.2329592701885457e-05,0
-2.5e-05,0.0,9.295000000000001e-05,1.1882274859289033e-05,0
-2.5e-05,0.0,9.410000000000001e-05,1.143495701669262e-05,0
-2.5e-05,0.0,9.525000000000001e-05,1.0987639174096199e-05,0
-2.5e-05,0.0,9.640000000000001e-05,1.0540321331499782e-05,0
-2.5e-05,0.0,9.755e-05,1.009300348890337e-05,0
-2.5e-05,0.0,9.87e-05,9.645685646306953e-06,0
-2.5e-05,0.0,9.985e-05,9.198367803710532e-06,0
-2.5e-05,0.0,0.000101,8.751049961114117e-06,0
-2.5e-05,0.0,0.00010215,8.3037321185177e-06,0
-2.5e-05,0.0,0.0001033,7.856414275921277e-06,0
-2.5e-05,0.0,0.00010445,7.4090964333248626e-06,0
-2.5e-05,0.0,0.00010559999999999999,6.961778590728452e-06,0
-2.5e-05,0.0,0.00010674999999999999,6.514460748132029e-06,0
-2.5e-05,0.0,0.0001079,6.067142905535612e-06,0
-2.5e-05,0.0,0.00010905,5.6198250629391965e-06,0
-2.5e-05,0.0,0.0001102,5.172507220342778e-06,0
-2.5e-05,0.0,0.00011135,4.7251893777463605e-06,0
-2.5e-05,0.0,0.0001125,4.277871535149944e-06,0
-2.5e-05,0.0,0.00011365,3.830553692553527e-06,0
-2.5e-05,0.0,0.0001148,3.390618123468178e-06,0
-2.5e-05,0.0,0.00011595,3.0911821512740832e-06,0
-2.5e-05,0.0,0.0001171,3.0008332754709993e-06,0
-2.5e-05,0.0,0.00011825,3.128825336065635e-06,0
-2.5e-05,0.0,0.0001194,3.4621977685614118e-06,0
-2.5e-05,0.0,0.00012055,3.971549325652092e-06,0
-2.5e-05,0.0,0.0001217,4.6216796049165035e-06,0
-2.5e-05,0.0,0.00012285,5.379886634078067e-06,0
-2.5e-05,0.0,0.000124,6.219544457292904e-06,0
-2.4e-05,0.0,5.5e-05,2.6410882339705483e-05,0
-2.4e-05,0.0,5.615e-05,2.5761475970471335e-05,0
-2.4e-05,0.0,5.7300000000000004e-05,2.5144093518889534e-05,0
-2.4e-05,0.0,5.8450000000000005e-05,2.4560887141019244e-05,0
-2.4e-05,0.0,5.96e-05,2.4014070407844876e-05,0
-2.4e-05,0.0,6.075e-05,2.3505895570608442e-05,0
-2.4e-05,0.0,6.19e-05,2.303860704798092e-05,0
-2.4e-05,0.0,6.305e-05,2.259128920538451e-05,0
-2.4e-05,0.0,6.42e-05,2.2143971362788085e-05,0
-2.4e-05,0.0,6.535e-05,2.1696653520191674e-05,0
-2.4e-05,0.0,6.65e-05,2.124933567759525e-05,0
-2.4e-05,0.0,6.765e-05,2.0802017834998833e-05,0
-2.4e-05,0.0,6.88e-05,2.0354699992402416e-05,0
-2.4e-05,0.0,6.995e-05,1.9907382149806e-05,0
-2.4e-05,0.0,7.11e-05,1.946006430720959e-05,0
-2.4e-05,0.0,7.225e-05,1.9012746464613165e-05,0
-2.4e-05,0.0,7.34e-05,1.8565428622016748e-05,0
-2.4e-05,0.0,7.455e-05,1.8118110779420337e-05,0
-2.4e-05,0.0,7.57e-05,1.7670792936823913e-05,0
-2.4e-05,0.0,7.685e-05,1.7223475094227496e-05,0
-2.4e-05,0.0,7.8e-05,1.677615725163108e-05,0
-2.4e-05,0.0,7.915e-05,1.6328839409034662e-05,0
-2.4e-05,0.0,8.03e-05,1.5881521566438245e-05,0
-2.4e-05,0.0,8.145e-05,1.5434203723841828e-05,0
-2.4e-05,0.0,8.26e-05,1.4986885881245404e-05,0
-2.4e-05,0.0,8.375e-05,1.4539568038648993e-05,0
-2.4e-05,0.0,8.49e-05,1.4092250196052568e-05,0
-2.4e-05,0.0,8.605e-05,1.3644932353456154e-05,0
-2.4e-05,0.0,8.72e-05,1.319761451085974e-05,0
-2.4e-05,0.0,8.835e-05,1.2750296668263323e-05,0
-2.4e-05,0.0,8.950000000000001e-05,1.2302978825666899e-05,0
-2.4e-05,0.0,9.065000000000001e-05,1.1855660983070485e-05,0
-2.4e-05,0.0,9.180000000000001e-05,1.1408343140474068e-05,0
-2.4e-05,0.0,9.295000000000001e-05,1.0961025297877646e-05,0
-2.4e-05,0.0,9.410000000000001e-05,1.0513707455281232e-05,0
-2.4e-05,0.0,9.525000000000001e-05,1.0066389612684815e-05,0
-2.4e-05,0.0,9.640000000000001e-05,9.619071770088393e-06,0
-2.4e-05,0.0,9.755e-05,9.171753927491982e-06,0
-2.4e-05,0.0,9.87e-05,8.724436084895567e-06,0
-2.4e-05,0.0,9.985e-05,8.27711824229915e-06,0
-2.4e-05,0.0,0.000101,7.82980039970273e-06,0
-2.4e-05,0.0,0.00010215,7.382482557106313e-06,0
-2.4e-05,0.0,0.0001033,6.9351647145098925e-06,0
-2.4e-05,0.0,0.00010445,6.487846871913476e-06,0
-2.4e-05,0.0,0.00010559999999999999,6.040529029317062e-06,0
-2.4e-05,0.0,0.00010674999999999999,5.5932111867206436e-06,0
-2.4e-05,0.0,0.0001079,5.145893344124226e-06,0
-2.4e-05,0.0,0.00010905,4.698575501527811e-06,0
-2.4e-05,0.0,0.0001102,4.251257658931394e-06,0
