G_length_S_m,Rsp_ohm,Ez_V_m,PJ_volume_W,PJ_circuit_W,joule_closure_relative,time_s,accepted_steps,rejected_steps,T_axis_K,T_max_K,T_min_K,p_axis_Pa,p_min_Pa,rho_axis_kg_m3,rho_min_kg_m3,sigma_axis_S_m,sigma_max_S_m,channel_radius_m,outward_velocity_max_m_s,internal_energy_J,kinetic_energy_J,total_energy_J,cumulative_Joule_J,conduction_boundary_loss_J,hydro_boundary_loss_J,radiation_loss_J,energy_residual_J,mass_residual_kg
2.74202762193462e-06,364.6936274458302,24745.27790114468,1.6790224240916618,1.679022424091662,1.3224636058399025e-16,3.2042233402522557e-09,32,0,9150.97483499886,9150.97483499886,300.0,178300.3232440777,101325.0,0.034016191924744234,0.034016191924744234,2018.0111239973348,2018.0111239973348,7.745939971281427e-05,100.14357435268187,0.00020825582397593644,1.5116949765490038e-09,0.000208257335670913,3.1735089212852384e-09,0.0,-3.476409511854354e-24,0.0,-3.160053503811868e-20,-1.0340898414284763e-25
2.7116174428852163e-06,368.78358435988656,25279.350254089335,1.7328470581957849,1.7328470581957853,2.562772102417635e-16,3.3037810677638756e-09,33,0,9122.245799106004,9122.245799106004,300.0,177258.42214985346,101325.0,0.033956867891603994,0.033956867891603994,1988.301307850093,1988.301307850093,7.751159665546593e-05,101.66380358414816,0.0002082559080593141,1.594771255876335e-09,0.00020825750283056998,3.340668578268856e-09,0.0,-3.6994077673010996e-24,0.0,-2.2160972885918976e-20,-1.0340971589468227e-25
2.6818780561387996e-06,372.8730311622511,25810.092517467434,1.7865622345595618,1.7865622345595622,2.4857192280208646e-16,3.4032723398131528e-09,34,0,9093.615551759975,9093.615551759975,300.0,176209.43989212735,101325.0,0.03389572460165236,0.03389572460165236,1958.7249811844497,1958.7249811844497,7.756363010836912e-05,103.03649362367949,0.00020825599611281486,1.6791209132304249e-09,0.00020825767523372808,3.5130717363556023e-09,0.0,-3.929181275280364e-24,0.0,-7.280637029904264e-21,-1.0341046987899338e-25
2.6527971249644414e-06,376.96060154370235,26336.13523223066,1.839958913822803,1.8399589138228032,1.206791104175793e-16,3.502694160503147e-09,35,0,9065.114676952391,9065.114676952391,300.0,175154.9583025751,101325.0,0.03383291052719685,0.03383291052719685,1929.3172853301096,1929.3172853301096,7.76154455918548e-05,104.26212548845614,0.0002082560881866904,1.7646703077997306e-09,0.0002082578528569982,3.690695006491499e-09,0.0,-4.165709039705341e-24,0.0,-1.9871803251644602e-20,-1.3669457755474062e-29
2.624362216941445e-06,381.0449615318144,26856.1098931616,1.8928229248698605,1.8928229248698605,0.0,3.602043559347144e-09,36,0,9036.772503525202,9036.772503525202,300.0,174096.5624708318,101325.0,0.033768581862818906,0.033768581862818906,1900.1120593151395,1900.1120593151395,7.766699088241835e-05,105.34149083550759,0.00020825618430712867,1.8513486814966813e-09,0.00020825803565581018,3.873493818477448e-09,0.0,-4.408969303240965e-24,0.0,-2.978952846611266e-20,-1.0341204426695886e-25
2.5965608035408967e-06,385.1248153466358,27368.65606294703,1.9449365630145197,1.9449365630145197,0.0,3.701317604237375e-09,37,0,9008.61691597709,9008.61691597709,300.0,173035.82976334423,101325.0,0.03370290144724194,0.03370290144724194,1871.1416015254024,1871.1416015254024,7.771821634549559e-05,106.27566390948209,0.00020825628447563072,1.9390883674972436e-09,0.00020825822356399822,4.061402006490237e-09,0.0,-4.6589395902482604e-24,0.0,-9.537915499263892e-21,-1.0341286452546607e-25
2.5693802620180495e-06,389.19891103023315,27872.428526237014,1.9960802816579395,1.9960802816579388,3.3372095345874807e-16,3.800513416179853e-09,38,0,8980.673794371405,8980.673794371405,300.0,171974.32202392048,101325.0,0.033636040260084,0.033636040260084,1842.4360189786892,1842.4360189786892,7.776907591544864e-05,107.06597551673927,0.00020825638866859143,2.027824968329485e-09,0.00020825841649355976,4.254331568035075e-09,0.0,-4.915596759739891e-24,0.0,-1.3367191211941349e-20,1.0338144641178675e-25
2.5428078805358024e-06,393.2660456397859,28366.104434678327,2.046034458657761,2.046034458657761,0.0,3.899628194628078e-09,39,0,8952.967461245455,8952.967461245455,300.0,170913.5773409848,101325.0,0.033568173628389486,0.033568173628389486,1814.023681405109,1814.023681405109,7.781952631442688e-05,107.71398896948853,0.00020825649683709616,2.117497518485945e-09,0.00020825861433461463,4.4521726229164734e-09,0.0,-5.178917092653368e-24,0.0,-2.257645629182712e-20,-1.0341457079213884e-25
2.5168308692466435e-06,397.3250694828483,28848.390310166433,2.094581206695367,2.094581206695367,0.0,3.998659234874267e-09,40,0,8925.5209372522,8925.5209372522,300.0,169855.096741291,101325.0,0.03349947728646227,0.03349947728646227,1785.9314763949321,1785.9314763949321,7.786952660665201e-05,108.22147769498176,0.00020825660890692416,2.2080486112993463e-09,0.00020825881695553546,4.654793543736899e-09,0.0,-5.448876368017462e-24,0.0,-1.4649027260394267e-20,-1.7880073864372481e-29
2.4914363737516275e-06,401.3748898167489,29318.028890822887,2.141506207415114,2.1415062074151145,2.0737236638043485e-16,4.097603937456392e-09,41,0,8898.355269427117,8898.355269427117,300.0,168800.33586502422,101325.0,0.03343012928766572,0.03343012928766572,1758.1840430483714,1758.1840430483714,7.791903937178063e-05,108.67995573826205,0.00020825672477876566,2.2994244842883582e-09,0.00020825902420324995,4.86204125826748e-09,0.0,-5.725449924011721e-24,0.0,-5.83881330839167e-20,-1.0341636419810624e-25
