step,time_s,dt_s,topology,topology_status,head_position_m,E_peak_V_m,eta_peak,ne_peak_m3,sigma_e_peak_S_m,tau_i_at_E_peak_s,tau_M_at_E_peak_s,Pi_RF_at_E_peak,K_ion_z_A_m_s,current_moment_z_A_m
200,1.999999999999997e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
201,2.0099999999999977e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,-5.350641805915435e-15
202,2.019999999999998e-12,1e-14,UNRESOLVED,UNRESOLVED,6.5625e-05,,,,,,,,,-6.475216094395096e-15
203,2.029999999999998e-12,1e-14,UNRESOLVED,UNRESOLVED,6.5625e-05,,,,,,,,,-4.935395327453764e-15
204,2.0399999999999986e-12,1e-14,UNRESOLVED,UNRESOLVED,6.5625e-05,,,,,,,,,-5.090230839522791e-15
205,2.0499999999999983e-12,1e-14,UNRESOLVED,UNRESOLVED,6.5625e-05,,,,,,,,,-5.464109091987449e-15
206,2.0599999999999985e-12,1e-14,UNRESOLVED,UNRESOLVED,6.5625e-05,,,,,,,,,-6.2822286182191526e-15
207,2.069999999999999e-12,1e-14,UNRESOLVED,UNRESOLVED,6.5625e-05,,,,,,,,,-6.891010784286104e-15
208,2.079999999999999e-12,1e-14,UNRESOLVED,UNRESOLVED,6.5625e-05,,,,,,,,,-7.54653059521694e-15
209,2.089999999999999e-12,1e-14,UNRESOLVED,UNRESOLVED,6.5625e-05,,,,,,,,,-8.113277908393481e-15
210,2.099999999999999e-12,1e-14,UNRESOLVED,UNRESOLVED,6.5625e-05,,,,,,,,,-8.733958655221499e-15
211,2.1099999999999997e-12,1e-14,UNRESOLVED,UNRESOLVED,6.5625e-05,,,,,,,,,-9.227066569752616e-15
212,2.12e-12,1e-14,UNRESOLVED,UNRESOLVED,6.5625e-05,,,,,,,,,-9.918744698915178e-15
213,2.13e-12,1e-14,ELECTRODE_ATTACHMENT,PENDING_CONTIGUOUS_CONFIRMATION,6.49999838838225e-05,581325.2367485169,0.2207755742496095,2783400987100437.0,2.874900109241148e-05,2.74545190159976,3.0798245074111924e-07,1.1217914637719915e-07,3.1873277317428912e-15,-1.0487841423403766e-14
214,2.14e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.496900276838217e-05,626042.5614779793,0.2377583102843847,2783188316273886.5,2.803452715380293e-05,0.4866379103774939,3.158315374546604e-07,6.49007261291386e-07,1.888381713138159e-14,-1.1042872706640816e-14
215,2.15e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.493921815926326e-05,670759.88602687,0.2547410462505825,2782971438793554.5,2.7415083681811285e-05,0.1081788222258594,3.2296774708276266e-07,2.9854988290449257e-06,8.900472293380494e-14,-1.1595006562241426e-14
216,2.16e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.491060332603353e-05,715477.2103957298,0.2717237821484083,2782750292243339.0,2.687284654040323e-05,0.0289121853732358,3.2948455235241865e-07,1.1396044543122795e-05,3.481987701104291e-13,-1.2146731275018962e-14
217,2.1700000000000002e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.488317088822415e-05,760194.5345856602,0.2887065179782802,2782524835491763.0,2.6394185610737648e-05,0.0089946924705983,3.354597843396976e-07,3.729530336209272e-05,1.1680069654633849e-12,-1.2696373282497955e-14
218,2.1800000000000004e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.485686747998485e-05,804911.8585970936,0.3056892537403627,2782295043136389.0,2.596849977443152e-05,0.0031763924788447,3.409587727327167e-07,0.0001073415124244,3.445560649578016e-12,-1.324374241731404e-14
219,2.190000000000001e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.483162241991882e-05,849629.1824301261,0.322671989434692,2782060901490938.0,2.558741979918525e-05,0.0012482274380838,3.460367587779185e-07,0.0002772225222905,9.119295517660788e-12,-1.3789228234664664e-14
220,2.2000000000000007e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.480736966932636e-05,894346.5060848752,0.3396547250613129,2781822405661061.0,2.5244250360480117e-05,0.0005372238366789,3.507407701304229e-07,0.0006528764105081,2.2004550272644295e-11,-1.4332914677910534e-14
221,2.210000000000001e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.478404784189221e-05,939063.8295615073,0.3566374606202886,2781579557377467.0,2.4933571486803708e-05,0.0002499890044029,3.551110925880053e-07,0.0014205068476353,4.9040938233029294e-11,-1.4875254608733076e-14
222,2.220000000000001e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.47616000542598e-05,983781.1528602378,0.3736201961117008,2781332363370220.5,2.465094870244236e-05,0.0001244534449228,3.591824363304423e-07,0.002886078698369,1.0202959909925149e-10,-1.5416364498012746e-14
223,2.2300000000000008e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.473997369001381e-05,1028498.4759812749,0.3906029315356286,2781080834138668.5,2.4392718785806675e-05,6.570883197565212e-05,3.6298486817106933e-07,0.0055241412342494,1.9991361340310207e-10,-1.5956378752013305e-14
224,2.2400000000000014e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.471912012366757e-05,1073215.7989248235,0.4075856668921501,2780824983013750.0,2.415582908864079e-05,3.652673238442801e-05,3.6654456281791045e-07,0.0100349672387934,3.716226968662828e-10,-1.6495404840697886e-14
225,2.250000000000001e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.469899442973807e-05,1117933.1216910814,0.42456840218134,2780564825440011.5,2.3937715418994765e-05,2.124765833804961e-05,3.698844128531218e-07,0.0174082436270515,6.594682892355097e-10,-1.7033510909083102e-14
226,2.2600000000000017e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.467955509350231e-05,1162650.4442802323,0.4415511374032682,2780300378424847.0,2.3736208105359413e-05,1.2866911468434552e-05,3.730245274855342e-07,0.0289909920030652,1.1230415883459166e-09,-1.7570766389167506e-14
227,2.270000000000002e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.466076377821246e-05,1207367.7666924542,0.4585338725580024,2780031659737873.0,2.354945893249569e-05,8.07573524488338e-06,3.759826430908858e-07,0.0465570789147775,1.8435383192183143e-09,-1.8107252166469935e-14
228,2.280000000000002e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.464259052029835e-05,1252085.0889277472,0.4755166076455427,2779758640389931.5,2.337588333982872e-05,5.2334554604622205e-06,3.7877446957111997e-07,0.0723755981937154,2.9284121695556102e-09,-1.8643031714886137e-14
229,2.2900000000000026e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.46250022248404e-05,1296802.41098627,0.4924993426659491,2779481337083522.5,2.321411568150408e-05,3.4903874641953566e-06,3.8141396098299814e-07,0.1092755359958084,4.5162450685771515e-09,-1.9178162675055672e-14
230,2.3000000000000023e-12,1e-14,ELECTRODE_ATTACHMENT,CONFIRMED,6.460796820832646e-05,1341519.7328681804,0.5094820776192817,2779199766912462.5,2.306297241605172e-05,2.3889419508888718e-06,3.839135586286149e-07,0.1607044317195607,6.781716144498372e-09,-1.9712701447802748e-14
