x_m,y_m,potential_V,Ex_V_m,Ey_V_m,E_mag_V_m,domain_id,cell_area_m2
0.0,3.28125e-05,235.60006391761019,0.0,-7512412.812026073,7512412.812026073,gas_gap,1.9140624999999994e-13
0.0,3.3249999999999995e-05,238.8960961284137,0.0,-7555771.7159662945,7555771.7159662945,gas_gap,1.9140624999999994e-13
0.0,3.368749999999999e-05,242.21190671984058,0.0,-7602850.252190622,7602850.252190622,gas_gap,1.9140624999999994e-13
0.0,3.4124999999999996e-05,245.54915022011832,0.0,-7653768.7459741635,7653768.7459741635,gas_gap,1.9140624999999994e-13
0.0,3.456249999999999e-05,248.90952824422192,0.0,-7708621.323047312,7708621.323047312,gas_gap,1.9140624999999994e-13
0.0,3.5e-05,252.29477696275404,0.0,-7767470.990707359,7767470.990707359,gas_gap,1.9140624999999994e-13
0.0,3.5437499999999994e-05,255.70665238046348,0.0,-7830344.554949585,7830344.554949585,gas_gap,1.9140624999999994e-13
0.0,3.5875e-05,259.1469133684025,0.0,-7897227.447583859,7897227.447583859,gas_gap,1.9140624999999994e-13
0.0,3.6312499999999995e-05,262.6173024286926,0.0,-7968058.549177311,7968058.549177311,gas_gap,1.9140624999999994e-13
0.0,3.674999999999999e-05,266.1195242109421,0.0,-8042725.105062251,8042725.105062251,gas_gap,1.9140624999999994e-13
0.0,3.7187499999999996e-05,269.6552218442452,0.0,-8121057.842206878,8121057.842206878,gas_gap,1.9140624999999994e-13
0.0,3.762499999999999e-05,273.2259511979499,0.0,-8202826.4040774815,8202826.4040774815,gas_gap,1.9140624999999994e-13
0.0,3.80625e-05,276.83315323737656,0.0,-8287735.228322972,8287735.228322972,gas_gap,1.9140624999999994e-13
0.0,3.8499999999999994e-05,280.47812469660283,0.0,-8375419.997781559,8375419.997781559,gas_gap,1.9140624999999994e-13
0.0,3.89375e-05,284.1619873483302,0.0,-8465444.798549227,8465444.798549227,gas_gap,1.9140624999999994e-13
0.0,3.9374999999999995e-05,287.88565620956126,0.0,-8557300.119287586,8557300.119287586,gas_gap,1.9140624999999994e-13
0.0,3.981249999999999e-05,291.6498070800519,0.0,-8650401.823248085,8650401.823248085,gas_gap,1.9140624999999994e-13
0.0,4.0249999999999996e-05,295.45484386680795,0.0,-8744091.21836594,8744091.21836594,gas_gap,1.9140624999999994e-13
0.0,4.068749999999999e-05,299.3008662007438,0.0,-8837636.341011692,8837636.341011692,gas_gap,1.9140624999999994e-13
0.0,4.1125e-05,303.1876378993627,0.0,-8930234.555443173,8930234.555443173,gas_gap,1.9140624999999994e-13
0.0,4.1562499999999994e-05,307.11455687030144,0.0,-9021016.553630685,9021016.553630685,gas_gap,1.9140624999999994e-13
0.0,4.199999999999999e-05,311.0806270831414,0.0,-9109051.818993604,9109051.818993604,gas_gap,1.9140624999999994e-13
0.0,4.2437499999999995e-05,315.08443325939953,0.0,-9193355.592860403,9193355.592860403,gas_gap,1.9140624999999994e-13
0.0,4.287499999999999e-05,319.1241189415785,0.0,-9272897.354439335,9272897.354439335,gas_gap,1.9140624999999994e-13
0.0,4.3312499999999996e-05,323.1973686002093,0.0,-9346610.794178894,9346610.794178894,gas_gap,1.9140624999999994e-13
0.0,4.374999999999999e-05,327.30139442181604,0.0,-9413405.227141477,9413405.227141477,gas_gap,1.9140624999999994e-13
