frequency_Hz,Zin_real_ohm,Zin_imag_ohm,S11_real,S11_imag,S11_dB,S21_real,S21_imag,S21_dB,S21_phase_deg,dipole_directivity_linear,dipole_directivity_dBi
218000000,19.9745734,-363.479595,0.948928835,-0.265286741,-0.128510018,-0.000705276569,0.00488287136,-46.1368214,98.2188981,1.54618539,1.89261566
218500000,20.0785169,-361.712028,0.948375486,-0.266461226,-0.130413139,-0.000662188123,0.00495068647,-46.0296793,97.6184827,1.54640748,1.89323942
219000000,20.1828251,-359.949678,0.947815348,-0.267641672,-0.132345346,-0.000617853445,0.00501892808,-45.922458,97.0180673,1.54663017,1.89386478
219500000,20.2874991,-358.192502,0.94724832,-0.268828118,-0.134307131,-0.000572251891,0.00508759046,-45.815156,96.417652,1.54685346,1.89449174
220000000,20.39254,-356.44046,0.946674302,-0.270020605,-0.136299,-0.000525362559,0.00515666763,-45.7077716,95.8172366,1.54707737,1.89512032
220500000,20.4979489,-354.693509,0.94609319,-0.271219174,-0.138321464,-0.000477164291,0.00522615339,-45.6003031,95.2168212,1.54730187,1.89575051
221000000,20.6037269,-352.951611,0.945504881,-0.272423864,-0.140375048,-0.000427635664,0.00529604127,-45.4927489,94.6164059,1.54752699,1.89638231
221500000,20.7098751,-351.214723,0.944909267,-0.273634716,-0.142460286,-0.000376754991,0.00536632456,-45.3851072,94.0159905,1.54775271,1.89701573
222000000,20.8163946,-349.482808,0.94430624,-0.274851771,-0.144577721,-0.000324500316,0.00543699627,-45.2773766,93.4155751,1.54797904,1.89765076
222500000,20.9232866,-347.755824,0.943695691,-0.27607507,-0.146727909,-0.000270849412,0.00550804916,-45.1695552,92.8151597,1.54820598,1.8982874
223000000,21.0305521,-346.033733,0.943077508,-0.277304652,-0.148911416,-0.00021577978,0.00557947572,-45.0616414,92.2147444,1.54843353,1.89892567
223500000,21.1381924,-344.316497,0.942451576,-0.278540558,-0.151128821,-0.000159268641,0.00565126815,-44.9536336,91.614329,1.54866169,1.89956555
224000000,21.2462086,-342.604075,0.94181778,-0.279782829,-0.153380711,-0.000101292936,0.00572341835,-44.8455301,91.0139136,1.54889046,1.90020705
224500000,21.3546018,-340.896431,0.941176001,-0.281031505,-0.155667688,-4.18293219e-05,0.00579591796,-44.7373292,90.4134983,1.54911985,1.90085018
225000000,21.4633732,-339.193525,0.940526121,-0.282286627,-0.157990366,1.91458297e-05,0.00586875831,-44.6290293,89.8130829,1.54934984,1.90149492
225500000,21.5725239,-337.495321,0.939868018,-0.283548234,-0.160349369,8.16564386e-05,0.0059419304,-44.5206287,89.2126675,1.54958045,1.9021413
226000000,21.6820551,-335.801781,0.939201566,-0.284816367,-0.162745337,0.000145726718,0.00601542496,-44.4121257,88.6122521,1.54981168,1.90278929
226500000,21.791968,-334.112869,0.93852664,-0.286091065,-0.16517892,0.000211381176,0.00608923237,-44.3035187,88.0118368,1.55004352,1.90343892
227000000,21.9022638,-332.428546,0.937843112,-0.28737237,-0.167650782,0.000278644623,0.00616334268,-44.194806,87.4114214,1.55027598,1.90409017
227500000,22.0129436,-330.748777,0.937150851,-0.28866032,-0.170161604,0.000347542172,0.00623774563,-44.085986,86.811006,1.55050905,1.90474305
228000000,22.1240087,-329.073526,0.936449723,-0.289954954,-0.172712075,0.000418099242,0.00631243059,-43.9770569,86.2105907,1.55074274,1.90539756
228500000,22.2354602,-327.402757,0.935739595,-0.291256314,-0.175302903,0.000490341562,0.00638738661,-43.8680172,85.6101753,1.55097705,1.90605371
229000000,22.3472993,-325.736434,0.935020327,-0.292564436,-0.177934808,0.000564295176,0.00646260235,-43.7588652,85.0097599,1.55121197,1.90671148
229500000,22.4595273,-324.074522,0.934291781,-0.293879361,-0.180608527,0.000639986441,0.00653806613,-43.6495991,84.4093445,1.55144752,1.9073709
230000000,22.5721454,-322.416985,0.933553813,-0.295201128,-0.18332481,0.000717442039,0.00661376588,-43.5402174,83.8089292,1.55168369,1.90803195
230500000,22.6851548,-320.76379,0.932806279,-0.296529773,-0.186084424,0.000796688973,0.00668968915,-43.4307183,83.2085138,1.55192048,1.90869463
231000000,22.7985567,-319.114902,0.932049032,-0.297865337,-0.188888153,0.000877754574,0.0067658231,-43.3211003,82.6080984,1.55215789,1.90935896
231500000,22.9123524,-317.470285,0.93128192,-0.299207855,-0.191736796,0.000960666502,0.00684215449,-43.2113616,82.0076831,1.55239592,1.91002493
232000000,23.026543,-315.829908,0.930504791,-0.300557366,-0.194631168,0.00104545276,0.00691866967,-43.1015006,81.4072677,1.55263458,1.91069253
232500000,23.14113,-314.193735,0.92971749,-0.301913907,-0.197572102,0.00113214167,0.00699535455,-42.9915157,80.8068523,1.55287386,1.91136179
233000000,23.2561144,-312.561733,0.928919858,-0.303277513,-0.200560451,0.00122076191,0.00707219465,-42.8814052,80.2064369,1.55311376,1.91203268
233500000,23.3714976,-310.933869,0.928111735,-0.304648222,-0.203597083,0.0013113425,0.007149175,-42.7711674,79.6060216,1.55335429,1.91270522
234000000,23.4872808,-309.310111,0.927292957,-0.306026068,-0.206682885,0.00140391282,0.00722628023,-42.6608007,79.0056062,1.55359545,1.91337941
234500000,23.6034654,-307.690425,0.926463356,-0.307411087,-0.209818764,0.00149850257,0.00730349448,-42.5503035,78.4051908,1.55383724,1.91405525
235000000,23.7200525,-306.074779,0.925622763,-0.308803314,-0.213005645,0.00159514184,0.00738080143,-42.439674,77.8047755,1.55407965,1.91473274
235500000,23.8370435,-304.463142,0.924771005,-0.310202782,-0.216244475,0.00169386105,0.00745818426,-42.3289107,77.2043601,1.55432269,1.91541188
236000000,23.9544397,-302.85548,0.923907906,-0.311609524,-0.21953622,0.00179469101,0.00753562568,-42.218012,76.6039447,1.55456637,1.91609268
236500000,24.0722424,-301.251762,0.923033287,-0.313023573,-0.222881867,0.00189766288,0.00761310789,-42.1069761,76.0035293,1.55481067,1.91677512
